"39","Beyond such offer much charge","Learn exactly","Player degree window training.","b'\x82s\xd5i}\x14E\x8c\xb8q\x87p\t&\xfc\x89o\x0f\xb6\xc1\xd6\xe1\xbf\xdb\x85\x8f\x94\xad\x94\x01\x01\xbb?\xc0\xb5\xff\xf5\xbbOP\t\xca}6Gf\x9a\x8c\xee\x84s\x9a\x1fIu\xb4\xabf\xf7;\xfe\x81g\xc9'","291.84","3.26","false"
"40","Amount its herself less","Question week","Style kind win.","b'\x12BLq\xfb%\x17#\x0e\x01\xa6!\xb9\x17n\xf0$f\x9e\x9d\x0fq\xf8[y\xb0\x1b\x1f\xe7\xa2\xc0\x17\x16\x08^${\xf9z\x1ep\xe2\x05@\x16V\xe7y\xf20\xa3\xdc\xe3z~""\x88\xc0\xf7\xc8\\\x93\x95\x86'","415.26","2.92","false"
"41","Defense tax","Late manager","Structure follow attention act.","b'\x8c\x8bgX\x81\x81-6\xd0\xc1 \xb2\x87\x87\xdb\xe4\xe5\xd1\xd1\xd5\x814L\xd6\t\xa2]\xcc\x99\x12\xa5\x06\x0f\x06~\xbbg&i\x15n_\xb1\x8e\xd64\xfcM\xd9\x03\xb7Z\xf4\xaa\x03\x00\x88kZ\xc9\xf2\xfbgr'","118.59","4.49","true"
"42","Low operation training issue","Power hour","Majority behind record above environmental.","b'b\x1d\xc0\x0b\xa6\xfe~\xb9\xa9\x1f\x11q\xe1\xd1\xfe\x8d\x90,\t\x82.6y\xa5uT\xfb\xd3<\xb4\x18/N?7\xc4\xf8\xc5Y\xa3\xfd\x0cb\x9e\xa8zV\xc5\x97\x895\xc7\xb0)\x87\xbfj\xdc\xb1/\x01\xf4\r|'","151.55","2.41","false"
"43","Subject fall","Unit charge","Apply spring blood response heavy movement.","b""\xea#\xc0>\\9\xe5kY\xa0P\x02\x99\xdf\xd4\x17b%\xfd[u\xeb\xec\x06\xc99\x86m\xc5`-3=\xcej\x9f\x07;\xb9p\x0f\xc7\x13F5F&\xe4\xbcnT\x89)\xd5\xa4\x94\xa0:za\xcf\xd1H'""","344.14","2.96","false"
"44","Development view seat","After","Artist hot work southern sometimes bill both after.","b'\xc4I\xf90.\x19\xd1i~x\x00%0ok\xe1\xbe\xad\xb2\x05\xde\xc7\xc2\xf7\xd5\xa7M\x03ok\xcd\xcbB\xfa\x88\x16\xd5\xa6`\x08\xd4\xa5[;{\xa2\xca\xa3\xa2]c\x7f\xc07\xc5~\x99\x04]\x9a\xb9\xa5\xac\xd1'","147.52","1.61","true"
"45","Well give easy put","Central","Strategy various wall hear edge picture agency.","b""\xe1\x8d\x96%'G=!}\x1cB\xac1&GY\xb3D\x85\xf2\x8e}\x01\x96m\xb2d\xc3\xfc\xa7\x82\x06J\x87u\x9b\x99G~\xa6M,6\xff\xac+w\x96R\x14\x8d\x07\r(\x9d\x84\xa2\xda\xd6E:\xd4\xe6\xb7""","102.04","3.47","false"
"46","Now bill know","Nation","Bit knowledge coach owner nothing course.","b""/uc\xbb\x98\x97\xeb\xfb\x15\xaf\x8e\x96\xdc\xff\n\x90\xda\tc({\x92s\x0b\xd4+r*\x862\xc3\xc1>\xe4,\x07\x89S\xb7\xfexl\x95\xb4bMK\xfel\xfc^N\xa7\x8c\x07O\x85'\xe0{\xd9z\xe5\x1d""","447.54","1.28","true"
"47","Black everyone official up","Return","Continue all buy or.","b'P\xa9\x999E\xaf\xd3_J\x15\xad\x9cf\x7f\x92\xe0\x02\x81>\x06j^\xd0\x0cB\xe7\xcf\xe2\xeb\xa3\xe0\xf7-\x8a!\xdbd(*\xb3+\xc4\xc9\xd5`\xaf\xfc\x15\xa1D\x9c\x96\x04B\x1cU\x8c\xa5\xce\x80\xceud\xa9'","255.44","0.07","true"
"48","Sound task concern than","Kitchen","Today rock message only small.","b""\xeb\xe1\xd0\xd3-\x04l\x9e\x02uC\\\xc1Wf\xd9\x14[\x08\x10D\x8d\x8e\x89\xd1e'*\x0b\x99o\t\xa6 \xa5u$\xe4\xf7\xf5\xe0\xedy7\x18\x13\x1c\xd9\xd1\xf5i\x0c\xa5\x02\xdfj\xfd.5\x8e\xd0A\x91a""","138.18","4.24","false"
"49","Seek consider","As","Push protect huge wall house himself.","b'\x8buH\xc2X\xa4p\x1f\xbb\xcd\xd3\x0ey%\xbeS\xfa22\xf6\xb9\xf0\nR[\xe0i\xffC\xda\x98\x1f\xeeT`\xf8$C\xc57r\xd1\xfc\x99\x9a>$\xe0\xd9\xc2aG\xb3&\t\x85t\xa1+Jp\xd0\x1b\x90'","221.70","2.2","true"
"50","Short available","Room","Money natural spend pass smile boy.","b'\xd4\x13\xce\xa2\xc7\x02\xfb\x9a\xbf\xf1\x1c\x80\x01\x97\x90\x7fZ\x98p0aw\xe5\xd4;\x03BW1^\xc6d\xe1\xf4dw!\x9bD\x1c\xd9\x8c\x95\x8a\xf1\xcb\x82\xac\xc1&1\xf2""A\xab\xbb#\xd3\x8d\xcc\\\x9d\x9b\x1d'","305.54","3.58","true"
"51","Fill character court its property","Security reason","On everybody author room skin.","b'\x8d*\xa4\x1dTZ\xda\xaf\xab\x05\'K\xbb\xb4\xda\x0c\xb9 \xb3\xafJ\xeb7\xe5C\xe4\xc1\xf6\x9e\xf8l\xd8\xa1\x0c\xf9\xd1K\x96\xa0m8dA\xd3\x14\xfb\xad\x89\xa9\xf76\x01\x0f\xbe\x8e\xd7v\xc6p""2\x8b\x08\xca'","464.90","1.21","true"
"52","Report hear contain","Red about","Set four free behind condition themselves couple.","b'^\xb6\x1c\x9cxR*\xa7\xf5)\xa6\x0f\x14\xa5:4\xd4\xf5\xc2\xb2\x8d\x12{\x8ad\x00\xfd\x02\x0e\x02&Z\xb9\xeb\xfd0\xceQ\xec_\xbc\xeeS!\xec\x0e\xee\xc4(\x1a\xec*9N\xe1P\x11?\x16\xdd\xbf\xaf>\xbe'","192.77","1.64","true"
"53","Market voice art by","Show","Management music others.","b'G\xce8?u~\x0c:*\x14\xa7a\xba:\xa1A\xa2r\x19\xfa3C\xa7\xf4N[\xf9\xb1E\x16W\x8e\xb1\xad}\x88\xd3\x93\xa2\x08\xf3\x96M\x84c\x08\xfa\x9d\xf3\x043\xbd~z\xc7c\xc51Z\x823\x90VD'","497.22","0.17","false"
"54","Scene lay himself use still","Alone","Floor try indeed send girl likely.","b';\x90\xa4\x1b\xa0\x9b\xa7\xfa\'@\x115\xc9\x7f\x01\x97v\x9f3\xc5\xd6\x8d \x07s\x93\x0b$\x88Nshy\x92 *q\xed""\x0b\xfbB\xb5\xd9\xc3\xaa\xedE\x03d\xdeo%\x8e;\x9a\xef\xc5c\xc2\x7f4\xd0\x1b'","431.10","3.83","true"
"55","Staff from","Individual reach","Agreement pick position white bed TV direction job.","b'\xaa<\xf2&\xc1\xf1\x187V\xf2\xd2\x86o\xd4\x9fW+2\xe9\x08\x94S@\xc5Mw9\xc6LcS\xf9\xbf5\x08\xc5\r\xd0\x89\x82\xa7-j\xb4""\xb1\x10\x7f\xcf.!\'\x9c\x12\xc6\x0e\xca\xd22\xb1m\xfdY\x12'","348.21","2.22","true"
"56","Could carry","Whom pick","Control local even environmental score.","b'\xc2\xbe02J\x95p\xe2bh\xff`gd\x88\xdd\x81y\x82\xf5F\xf9~\x0e\xa9&\xf6\xcf]\xef\x10\x11\xe1qrw\xcf\x02{\xf1n\xc4\xb4\xfa*\x12\xfe~<f\xefA\x98:\x1f\xa9\x14\x8fF""\xa0\xc2\xee\x93'","137.74","3.74","false"
"57","Big list","Thought","Best mention might.","b'\xaa\xdb\xe9\xae\x88\xcb\xf7(\xdd\x82baAN\xbb\xf9\xb7\xe8\x81\x99\x18\xe2\xa7\xb4|\xb7\x08Do$\xb3\xdaWb)\xc7\xa6\x84\xb1]\xc5\x00L0\x16\xf0\nts\xec\xaf\xb5\xde\xb0\xa7u""\x8f\x9eC\x01h\xae\x91'","483.95","0.51","true"
"58","Case well though seat","Husband","History hotel leader step.","b'7[h\xb5\xceA\x92\xbf\xd6\xdb\x85\xad\x08\xd1\x11\x93\xe8\xd4xC;}\xcbB\x84\xf3a\x88\x9ejs\xb9x\x17\x9a\x9f\xfb\x97\xcb\xd6\xb5?\x00A\xb00/o\x89\xdd\xfa\x13\xd1\x07\xbe/\xea\x91b\xaa\xed\xcb\xfd\x07'","260.90","1.96","true"
"59","Half up trip","From run","Team number wife as from south detail include.","b'\xfdG&\x81d\xb3\xa6\x90+\xd2,\xd0w\x81SEx_0w\x91\x83\x133\xd1\x91\xa65!\xcb&T\n\xf7p^\xdb\xd8\x92\xc7\xdf\xf9*F\x91"";\xe6\xe1\x91\xeb\xa6x\x81W\xf3\x04\xdf4Ut\n\xfe\xf2'","166.77","2.5","false"
"60","Prevent point glass picture run","Level","Develop amount mouth pattern behavior.","b""\xa1E\xdf\xe8)@\xf1K#\xdb\x8e\xee\x19\xa8\xd4\x15\x90\x8c\x04F\x81I\x92\xe5\xe1\xfe\x99\x06\xfc>CX;\x19\x7f\xd2\x13e\xc2d'm\x93j\xcfH*=\xddy\x9f\x052\xeb\xfd\xb4\xd2\x1d\x16a=\x17L\xb8""","348.58","1.25","false"
"61","Create with teacher establish","Least","Brother spend ahead action why bad.","b'\xf4\xa0I\xbf4lj_@\x95HK\x93\x1eamX\xc3\x86\x98p\x11NDe\xc1\r\xea/\xda8\x16\xbd\xd4{>1\xeeBL\xdc\xe9\x8b\x1f\xa9\xcf\xab`\xb5\xb1\xd2\xf2j\xe9\xbc\xcc\xcb`J\xcapyd\x9d'","491.13","1.25","true"
"62","Art so","Behind","Police people country.","b""\x8c\x08'\x1eF\x9f\xcb3\xddv\xef\x17X\x9a_\x82x\x0f\xbf\xe7\x0f:\x1e\xa80\xbf\xff\xc7\xc7\x82\x8b\xc3e\x04\xfdE\xc9\x88\x99\x8eD\xc5#\x1e\xbf\xf1\x95p5\xe6VJS\xb2\xac\x0c\xfd\xf5a&[p\xd6L""","239.13","2.63","false"
"63","Air hundred clear tough","Nature brother","Never agent meet figure.","b'\x08\x0cd\xb1\x1c\\\xe6%\xa4\xa3\xb7\xaf\x8b\xbc\xe1h\xdf\x10\xab\xbb\xd50dB\xf6\xe6\x9a\xb5Y\x12v\x92\xac)\xe9E\xdb.b""X$\x89\xc8j*\xa7?\x04SN\x07AN_\x95_n\x14[\xa7\xa7\xd3Z'","268.09","0.88","false"
"64","First street today hospital lead","Animal","Show church such happy keep.","b""\xe5\xc7\x04\x9d`.}\xb3w]\x86.\xacW*1&#n\xcc\x7f\xb86)\xa9\xa8\xd9\xc6u\xee\x16#'\x0f\xe1\xb0=\x91:&J`r\x14\xf9<ff\xe8}Jo~cXj(xP\xef;\x9d\xeb\xb6""","497.15","1.74","true"
"65","Society cold economy","Candidate","Fight direction challenge adult later manage president.","b""\xa9\xbd\xdfa*\x89bQ\xfc$\xee\xee\x97\x10\xca\xb6\x0e\x8eqg*yO\xc4\xe6>'\xc2\x9b\x85\xfd\xde\xfbXu\xf3\x1c1\xa2V>\xdc$\xf4O\xcbZ\x1aw\\(\xd1ZU\xa9\x8c\xb5\xddw\x93X\xd8/}""","331.79","3.83","false"
